tau_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
44.21787801655311,-19.864841861022217,bursting,bursting,78,83,16.0,16.0,0.2825435215277255,0.28147217686220316,0.5038671806111908,0.5024494410249968,27.231875630782984,27.247296444104215,,,
44.21787801655311,-19.766628381718544,bursting,bursting,77,83,16.0,16.0,0.28260760004031826,0.279701425468707,0.5039814534825118,0.49928851386773837,27.228570571399533,27.276474343656748,,,
44.21787801655311,-19.562622806541974,bursting,bursting,77,83,16.0,16.0,0.28047713121108303,0.27974648524936474,0.5001375378229013,0.503005457609215,27.26929934875308,27.276863072561763,,,
44.21787801655311,-19.552808902450636,bursting,bursting,78,83,16.0,16.0,0.2819539420756235,0.27948066188197745,0.502815768302494,0.4984051036682615,27.2490066758896,27.269874630727575,,,
44.21787801655311,-19.53567735386656,bursting,bursting,78,83,16.0,16.0,0.2800918989111977,0.2792036280275092,0.4994506043352313,0.4983554270906011,27.278996088993058,27.28034797262091,,,
44.21787801655311,-19.421761202620033,bursting,bursting,76,83,16.0,16.0,0.27705929168324733,0.2743802879620012,0.4974134500596897,0.49478007025876986,27.368990355019356,27.396716138715806,,,
44.21787801655311,-18.91369146338961,bursting,bursting,79,82,16.0,16.0,0.2811610269848069,0.2816510053551582,0.5039179621557611,0.5052035970496109,27.283153557390005,27.24612058073368,,,
44.21787801655311,-18.73742354832292,bursting,bursting,83,79,16.0,15.5,0.2814727437004319,0.2599668409641629,0.5019576347756248,0.5101390128810102,27.26181965616273,27.52752358322169,,,
44.21787801655311,-18.64217287385621,bursting,bursting,80,82,16.0,16.0,0.28169014084507055,0.28478810483366296,0.5021214631819436,0.5006383138501588,27.246691611215297,27.129207191246053,,,
44.21787801655311,-18.513491657593114,bursting,bursting,78,82,16.0,16.0,0.27988966900702134,0.27892795302266077,0.501504513540622,0.5018946523124794,27.316927379195672,27.30024806101795,,,
44.21787801655311,-18.25714244410362,bursting,bursting,79,83,16.0,16.0,0.2807850824286289,0.2790183061758199,0.5026135906714917,0.5029169181251258,27.260479530611867,27.325941604138613,,,
44.21787801655311,-18.063443290817037,bursting,bursting,81,82,16.0,15.5,0.28380870575752226,0.26501766784452313,0.505267412778213,0.5196424859696529,27.206090068321206,27.40407462661485,,,
44.21787801655311,-17.01011737753121,bursting,bursting,83,80,15.5,15.5,0.26631573433899036,0.2613545816733068,0.5237795935470355,0.514072741292893,27.472338016179883,27.532083427260922,,,
44.39297493308039,-22.914311639711332,bursting,bursting,75,83,16.0,16.0,0.2705189547294813,0.2726956002389011,0.490737332842596,0.4977105315548475,27.53853894752579,27.546827493718823,,,
44.39297493308039,-21.731662231386487,bursting,bursting,76,82,16.0,16.0,0.27669588604442663,0.27508122721297645,0.49805757545572266,0.4960440487115256,27.40357075564813,27.39536937001798,,,
44.39297493308039,-21.331019414577387,bursting,bursting,75,82,16.0,16.0,0.27502774694783577,0.2718341150333248,0.49327907263534354,0.4937052579609973,27.396738530180013,27.496333981633605,,,
44.39297493308039,-21.277755696486683,bursting,bursting,77,82,16.0,16.0,0.27834871539037187,0.2720759624113649,0.4988775255674733,0.4907132517113623,27.341945892061926,27.45214669027055,[-52.       -52.       -52.       ... -88.96817  -88.780624 -88.59401 ],[-52.       -52.       -52.       ... -55.669025 -55.669846 -55.670578],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
44.39297493308039,-20.94074530858559,bursting,bursting,75,83,16.0,16.0,0.2750538793103448,0.27270489179940444,0.48981191222570525,0.4923804131071664,27.348483465279738,27.44475806732369,,,
44.39297493308039,-20.639342432714603,bursting,bursting,83,77,16.0,16.0,0.27612162766433174,0.2845317767825694,0.4968450340338847,0.5031952900920846,27.399281049623152,27.14992411280262,,,
44.39297493308039,-20.55028450245337,bursting,bursting,83,78,16.0,16.0,0.27627948596853197,0.2845317767825694,0.49712907956550906,0.5031952900920846,27.389241825956542,27.14992411280262,,,
44.39297493308039,-19.864841861022217,bursting,bursting,78,82,16.0,16.0,0.28197417300548383,0.27744451109778073,0.5054206363245811,0.4999000199960008,27.264808558117675,27.3559657607834,,,
44.39297493308039,-19.766628381718544,bursting,bursting,78,82,16.0,16.0,0.28013053847119385,0.27690168127747294,0.5020710430525919,0.4966846300941217,27.31012107964124,27.32129216291827,,,
44.39297493308039,-19.562622806541974,bursting,bursting,80,81,16.0,16.0,0.27713591510884117,0.27469288686348325,0.4958595725690485,0.4953437685753914,27.35234763332334,27.390092804256028,,,
44.39297493308039,-19.552808902450636,bursting,bursting,80,81,16.0,16.0,0.2814553695077428,0.2808172358793896,0.5035880649628602,0.506341932707157,27.27554437549655,27.30276872316554,,,
44.39297493308039,-19.53567735386656,bursting,bursting,78,82,16.0,16.0,0.2773326056215734,0.27556974018850044,0.49616710908233885,0.4986785019697801,27.33763460854724,27.417799302342285,,,
44.39297493308039,-19.421761202620033,bursting,bursting,84,80,15.0,15.5,0.27052844446809676,0.2672447772960192,0.5321696556862329,0.5255551175929575,27.7327140471417,27.40290006890424,,,
